Periodo,Fecha,Avance_Planificado_Periodo_%,Avance_Real_Periodo_%,Costo_Planificado_USD,Costo_Real_USD
Semana 01,2026-01-05,2.5,2.0,12500,11800
Semana 02,2026-01-12,3.5,3.2,17500,16900
Semana 03,2026-01-19,4.5,4.0,22500,21500
Semana 04,2026-01-26,5.5,5.1,27500,27000
Semana 05,2026-02-02,7.0,6.5,35000,34200
Semana 06,2026-02-09,8.5,8.0,42500,41800
Semana 07,2026-02-16,9.5,9.2,47500,48000
Semana 08,2026-02-23,10.0,10.5,50000,52000
Semana 09,2026-03-02,10.0,9.8,50000,50500
Semana 10,2026-03-09,9.0,8.7,45000,44800
Semana 11,2026-03-16,8.0,7.5,40000,39200
Semana 12,2026-03-23,6.5,6.2,32500,32000
Semana 13,2026-03-30,5.5,5.0,27500,26800
Semana 14,2026-04-06,4.5,4.3,22500,22100
Semana 15,2026-04-13,3.0,2.8,15000,14700
Semana 16,2026-04-20,2.5,2.2,12500,12100
